company_slug,company_name,req_type,key,value_num,value_text,trust,source_url,source_quote,verified_by
afas software,Afas Software B.V.,certification,iso_27001,,ISO 27001,claim,https://klant.afas.nl/Certificeringen,"ISO 27001 Met ISO 27001 laten we zien dat informatiebeveiliging geen losse verzameling maatregelen is, maar een structureel onderdeel is van onze manier van werken.",website-scan
afas software,Afas Software B.V.,certification,iso_9001,,ISO 9001,claim,https://klant.afas.nl/Certificeringen,ISO 9001 Met ISO 9001 laten we zien dat we onze processen structureel beheersen en verbeteren.,website-scan
afas software,Afas Software B.V.,certification,iso_14001,,ISO 14001,claim,https://klant.afas.nl/Certificeringen,"&quot;});"">Lees meer over AFAS & CSR &gt; ISO 14001 Met ISO 14001 hebben we milieumanagement structureel onderdeel gemaakt van onze manier van werken.",website-scan
afas software,Afas Software B.V.,certification,nen_7510,,NEN 7510,claim,https://klant.afas.nl/Certificeringen,"&quot;});"">Bekijk & download het certificaat &gt; NEN 7510 NEN 7510 richt zich specifiek op informatiebeveiliging in de gezondheidszorg, omdat we hier veel klanten hebben, en sluit aan op ISO 27001.",website-scan
afas software,Afas Software B.V.,certification,soc2,,SOC2,claim,https://klant.afas.nl/Certificeringen,"&quot;});"">Bekijk & download het certificaat &gt; ISAE 3402 type II Met de ISAE 3402 type II-rapportage geven we klanten en hun accountants inzicht in de beheersmaatregelen binnen AFAS Online.&#160; &quot;});"">Bekijk & download h",website-scan
centric,Centric B.V.,certification,iso_27001,,ISO 27001,claim,https://centric.eu/nl/over-centric/trust-center/,"Door te voldoen aan ISO-27001, ISO-14001 en ISO-9001 waarborgen we dat onze dienstverlening voldoet aan hoge internationale standaarden.",website-scan
centric,Centric B.V.,certification,iso_9001,,ISO 9001,claim,https://centric.eu/nl/over-centric/trust-center/,"Door te voldoen aan ISO-27001, ISO-14001 en ISO-9001 waarborgen we dat onze dienstverlening voldoet aan hoge internationale standaarden.",website-scan
centric,Centric B.V.,certification,iso_14001,,ISO 14001,claim,https://centric.eu/nl/over-centric/trust-center/,"Door te voldoen aan ISO-27001, ISO-14001 en ISO-9001 waarborgen we dat onze dienstverlening voldoet aan hoge internationale standaarden.",website-scan
pqr,PQR B.V.,certification,iso_27001,,ISO 27001,claim,https://pqr.com/,CO2 PRESTATIELADDER NIVEAU 5 ISO 14001 NEN 7510 ECOVADIS SUSTAINABILITY RATING PLATINUM ISAE 3402 TYPE I EN II-RAPPORTEN CO2 PRESTATIELADDER NIVEAU 5 ISO 9001 ISO 20000 ISO 27001 MVO PRESTATIELADDER NIVEAU 3 Klaar voor rust in jouw IT ? Neem contact op Bekijk alle solutions Rustmakers in IT.,website-scan
pqr,PQR B.V.,certification,iso_9001,,ISO 9001,claim,https://pqr.com/,d en gecertificeerd CO2 PRESTATIELADDER NIVEAU 5 ISO 14001 NEN 7510 ECOVADIS SUSTAINABILITY RATING PLATINUM ISAE 3402 TYPE I EN II-RAPPORTEN CO2 PRESTATIELADDER NIVEAU 5 ISO 9001 ISO 20000 ISO 27001 MVO PRESTATIELADDER NIVEAU 3 Klaar voor rust in jouw IT ? Neem contact op Bekijk alle solutions Rustmakers in IT.,website-scan
pqr,PQR B.V.,certification,iso_14001,,ISO 14001,claim,https://pqr.com/,Bekijk alle partners Erkend en gecertificeerd CO2 PRESTATIELADDER NIVEAU 5 ISO 14001 NEN 7510 ECOVADIS SUSTAINABILITY RATING PLATINUM ISAE 3402 TYPE I EN II-RAPPORTEN CO2 PRESTATIELADDER NIVEAU 5 ISO 9001 ISO 20000 ISO 27001 MVO PRESTATIELADDER NIVEAU 3,website-scan
pqr,PQR B.V.,certification,nen_7510,,NEN 7510,claim,https://pqr.com/,Bekijk alle partners Erkend en gecertificeerd CO2 PRESTATIELADDER NIVEAU 5 ISO 14001 NEN 7510 ECOVADIS SUSTAINABILITY RATING PLATINUM ISAE 3402 TYPE I EN II-RAPPORTEN CO2 PRESTATIELADDER NIVEAU 5 ISO 9001 ISO 20000 ISO 27001 MVO PRESTATIELADDER NIVEAU 3 Klaar voo,website-scan
pqr,PQR B.V.,certification,iso_20000,,ISO 20000,claim,https://pqr.com/,rtificeerd CO2 PRESTATIELADDER NIVEAU 5 ISO 14001 NEN 7510 ECOVADIS SUSTAINABILITY RATING PLATINUM ISAE 3402 TYPE I EN II-RAPPORTEN CO2 PRESTATIELADDER NIVEAU 5 ISO 9001 ISO 20000 ISO 27001 MVO PRESTATIELADDER NIVEAU 3 Klaar voor rust in jouw IT ? Neem contact op Bekijk alle solutions Rustmakers in IT.,website-scan
pqr,PQR B.V.,certification,soc2,,SOC2,claim,https://pqr.com/,Bekijk alle partners Erkend en gecertificeerd CO2 PRESTATIELADDER NIVEAU 5 ISO 14001 NEN 7510 ECOVADIS SUSTAINABILITY RATING PLATINUM ISAE 3402 TYPE I EN II-RAPPORTEN CO2 PRESTATIELADDER NIVEAU 5 ISO 9001 ISO 20000 ISO 27001 MVO PRESTATIELADDER NIVEAU 3 Klaar voor rust in jouw IT ? Neem contact op Bekijk alle so,website-scan
ilionx,Ilionx,certification,iso_14001,,ISO 14001,claim,https://www.ilionx.com/over-ons/mvo/,"ISO 14001 Sinds 2025 is ilionx ook gecertificeerd volgens de ISO 14001, een internationale norm met eisen voor een milieumanagementsysteem.",website-scan
ilionx,Ilionx,certification,iso_27001,,ISO 27001,claim,https://www.ilionx.com/over-ons/certificering/,ISO 27001 Informatiebeveiliging zit ons in het bloed.,website-scan
ilionx,Ilionx,certification,iso_9001,,ISO 9001,claim,https://www.ilionx.com/over-ons/certificering/,ISO 9001 In onze business is kwaliteit van wezenlijk belang.,website-scan
ilionx,Ilionx,certification,nen_7510,,NEN 7510,claim,https://www.ilionx.com/over-ons/certificering/,"NEN 7510 Informatiebeveiliging in het algemeen is al zeer belangrijk voor ons, informatiebeveiliging in de zorg gaat nog net een stapje verder.",website-scan
