ted_id,title,buyer,category,is_it,estimated_value_eur,lots_with_value,deadline,portal,documents_url,has_selection_criteria_in_ted,ted_url
655434-2026,"IBM, Red Hat & SAP licentie expertise","Belastingdienst, IUC Belastingdienst","IT services: consulting, software development, Internet and support",yes,,,2026-10-05,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440935,no,https://ted.europa.eu/en/notice/-/detail/655434-2026
654951-2026,Project Portfolio Management (PPM),Spaarnelanden N.V.,"IT services: consulting, software development, Internet and support",yes,400000,1,2026-11-13,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440919,no,https://ted.europa.eu/en/notice/-/detail/654951-2026
654840-2026,Overstortregistratie Buren en West Betuwe,Gemeente West Betuwe,Sewage services,no,1150000,1,2026-10-29,Mercell,https://s2c.mercell.com/today/229060,no,https://ted.europa.eu/en/notice/-/detail/654840-2026
654839-2026,Europese Aanbesteding CMS (ContainerManagementSysteem),Gemeente Rhenen,Software supply services,yes,,,2026-10-12,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/441040,no,https://ted.europa.eu/en/notice/-/detail/654839-2026
653642-2026,Security Incident Response 2.0 (2026),SURF B.V.,"IT services: consulting, software development, Internet and support",yes,6890000,1,,Mercell,https://s2c.mercell.com/today/232542,no,https://ted.europa.eu/en/notice/-/detail/653642-2026
652987-2026,Europese aanbesteding ICT-beheer,Stichting Universiteit voor Humanistiek,"IT services: consulting, software development, Internet and support",yes,,,2026-10-16,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440727,no,https://ted.europa.eu/en/notice/-/detail/652987-2026
652408-2026,Integratieplatform,Provincie Noord-Brabant,Software implementation services,yes,,,,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440720,no,https://ted.europa.eu/en/notice/-/detail/652408-2026
652022-2026,Digitale Werkplekken,Servicebureau Jeugdhulp Haaglanden,Office automation services,yes,,,2026-11-10,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440750,no,https://ted.europa.eu/en/notice/-/detail/652022-2026
651050-2026,Vernieuwing online- en offline ticketing- en kassasysteem Kunstmuseum Den Haag,Stichting Kunstmuseum Den Haag,Software-related services,yes,,,,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440711,no,https://ted.europa.eu/en/notice/-/detail/651050-2026
650825-2026,"Secret Management, Privileged Access Management (PAM) en Identity Governance & Administration (IGA)",Dienst Uitvoering Onderwijs (DUO),"IT services: consulting, software development, Internet and support",yes,,,,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440716,no,https://ted.europa.eu/en/notice/-/detail/650825-2026
650682-2026,Bedrijfsvoeringseenheid Bommelerwaard - EA BOR-beheersysteem,Bedrijfsvoeringseenheid Bommelerwaard,Software programming and consultancy services,yes,647500,1,2026-11-09,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440821,no,https://ted.europa.eu/en/notice/-/detail/650682-2026
649625-2026,Monitoringsonderzoek Maatschappelijke Diensttijd,"Ministerie van Onderwijs, Cultuur en Wetenschap",Data management services,yes,,,2026-11-11,none,,no,https://ted.europa.eu/en/notice/-/detail/649625-2026
649535-2026,Aanbesteding Independent Market Research & IT Advice 2,SURF B.V.,Market research services,yes,6900000,1,2026-11-09,Mercell,https://s2c.mercell.com/today/232278,no,https://ted.europa.eu/en/notice/-/detail/649535-2026
648856-2026,Softwarebroker-dienstverlening,Provincie Utrecht,Software supply services,yes,14000000,1,2026-09-29,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440696,no,https://ted.europa.eu/en/notice/-/detail/648856-2026
648631-2026,Outsourcing ICT,Belastingsamenwerking Gouwe-Rijnland,"IT services: consulting, software development, Internet and support",yes,11000000,1,,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440681,no,https://ted.europa.eu/en/notice/-/detail/648631-2026
648539-2026,Zorgregie- en declaratiesysteem t.b.v. SWT,Gemeente Zwolle,Software-related services,yes,7605000,1,2026-11-19,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440511,no,https://ted.europa.eu/en/notice/-/detail/648539-2026
648136-2026,Softwarebroker,Gemeente Nieuwegein,Software-related services,yes,1040000,1,2026-09-29,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440605,no,https://ted.europa.eu/en/notice/-/detail/648136-2026
648029-2026,Datafundament gemeente Den Helder,Gemeente Den Helder,Information technology services,yes,1845000,1,2026-11-20,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440652,no,https://ted.europa.eu/en/notice/-/detail/648029-2026
647200-2026,Herstel van de digitale informatiehuishouding,Veiligheidsregio Kennemerland,Data services,yes,,,2026-11-30,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440489,no,https://ted.europa.eu/en/notice/-/detail/647200-2026
646840-2026,25.383-BV Zaak- Documentmanagementsysteem Edam-Volendam,Gemeente Edam-Volendam,Software package and information systems,yes,,,2026-11-13,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440649,no,https://ted.europa.eu/en/notice/-/detail/646840-2026
646325-2026,"Provision of ICT services for user support, infrastructure administration and maintenance services",European Union Agency for Criminal Justice Cooperation (Eurojust),"IT services: consulting, software development, Internet and support",yes,13500000,1,2026-11-04,EU Funding & Tenders,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/tender-details/de510eb9-2fac-49ab-a9a7-94e8087a6922-CN?#anchorDocuments,no,https://ted.europa.eu/en/notice/-/detail/646325-2026
643994-2026,Beheersoftware Openbare Ruimte,Gemeente Lansingerland,Software package and information systems,yes,,,2026-11-16,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440324,no,https://ted.europa.eu/en/notice/-/detail/643994-2026
643806-2026,EA Softwarebroker,Samenwerkingsorganisatie De Wolden Hoogeveen,Software support services,yes,6000000,1,2026-10-21,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440309,no,https://ted.europa.eu/en/notice/-/detail/643806-2026
643670-2026,Plan- en regelsoftware,Gemeente Nijkerk,Software package and information systems,yes,,,2026-11-30,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440430,no,https://ted.europa.eu/en/notice/-/detail/643670-2026
641736-2026,BHV-App ten behoeve van het Rijk,Inkoop Uitvoeringscentrum Dienst Justitiële Inrichtingen (IUC DJI),"IT services: consulting, software development, Internet and support",yes,4860000,1,2026-12-01,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440107,no,https://ted.europa.eu/en/notice/-/detail/641736-2026
641193-2026,Gemeente IJsselstein - Burgerzaken Applicatie,Gemeente IJsselstein,Software-related services,yes,,,2026-12-08,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440095,no,https://ted.europa.eu/en/notice/-/detail/641193-2026
640689-2026,Proces- en architectuurtool provincie Noord-Brabant,Provincie Noord-Brabant,Software programming and consultancy services,yes,,,2026-10-12,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/440140,no,https://ted.europa.eu/en/notice/-/detail/640689-2026
639755-2026,Overeenkomst Standaard Software en aanverwante diensten,Gemeente Amsterdam,Software package and information systems,yes,100000000,1,2026-10-30,Mercell,https://s2c.mercell.com/today/234329,no,https://ted.europa.eu/en/notice/-/detail/639755-2026
639026-2026,Website Werkzaak Rivierenland,Werkzaak Rivierenland,World wide web (www) site design services,yes,,,2026-11-02,TenderNed,https://www.tenderned.nl/aankondigingen/overzicht/439893,no,https://ted.europa.eu/en/notice/-/detail/639026-2026
